,ShirtNumber,PlayerName,Team,ServePoints,Errors,Attempts,AveragePerMatch,Success%,TotalAttempts
69,1,Hancock Micha,USA,1,7,7,0.25,6.67,15
70,23,Robinson Kelsey,USA,1,3,9,0.5,7.69,13
71,19,Milenkovic Bojana,SRB,1,4,62,0.12,1.49,67
72,18,De La Cruz De Peña Bethania,DOM,1,6,35,0.17,2.38,42
73,1,Vargas Valdez Annerys Victoria,DOM,1,1,18,0.25,5.0,20
74,14,Rivera Brens Prisilla,DOM,1,5,45,0.17,1.96,51
75,14,Aleksic Maja,SRB,1,3,10,0.2,7.14,14
76,13,Bjelica Ana,SRB,1,1,5,0.5,14.29,7
77,2,Zhu Ting,CHN,1,0,32,0.33,3.03,33
78,11,Yao Di,CHN,1,1,33,0.2,2.86,35
79,4,Senoglu Tugba,TUR,1,1,20,0.25,4.55,22
80,11,Aydemir Akyol Naz,TUR,1,3,30,0.2,2.94,34
81,5,Shimamura Haruyo,JPN,1,0,42,0.2,2.33,43
82,19,Mukuvilani Edith,KEN,1,2,32,0.2,2.86,35
83,4,Kasaya Leonida,KEN,1,6,27,0.2,2.94,34
84,16,Jeong Jiyun,KOR,1,2,8,0.14,9.09,11
85,19,Pyo Seungju,KOR,1,5,14,0.12,5.0,20
86,9,Ratzke Roberta Silva,BRA,1,4,49,0.12,1.85,54
87,12,Pereira Natalia,BRA,1,1,16,0.14,5.56,18
88,13,Startseva Evgeniya,ROC,0,5,62,0.0,0.0,67
89,12,Lazareva Anna,ROC,0,1,17,0.0,0.0,18
90,8,Goncharova Nataliya,ROC,0,2,67,0.0,0.0,69
91,19,Podkopaeva Anna,ROC,0,0,0,,,0
92,25,Smirnova Kseniia,ROC,0,6,21,0.0,0.0,27
93,5,Malinov Ofelia,ITA,0,3,41,0.0,0.0,44
94,6,De Gennaro Monica,ITA,0,0,0,,,0
95,26,Enina Ekaterina,ROC,0,0,17,0.0,0.0,17
96,4,Pilipenko Daria,ROC,0,0,0,,,0
97,10,Chirichella Cristina,ITA,0,1,21,0.0,0.0,22
98,4,Wong-Orantes Justine,USA,0,0,0,,,0
99,17,Herrera Rodriguez Candelaria Lucia,ARG,0,1,16,0.0,0.0,17
100,11,Lazcano Julieta Constanza,ARG,0,0,23,0.0,0.0,23
101,14,Mayer Victoria,ARG,0,2,46,0.0,0.0,48
102,12,Rizzo Tatiana Soledad,ARG,0,0,0,,,0
103,1,Rodriguez Elina María,ARG,0,3,11,0.0,0.0,14
104,4,Bulaich Simian Daniela,ARG,0,3,29,0.0,0.0,32
105,24,Ogbogu Chiaka,USA,0,0,8,0.0,0.0,8
106,2,Germanier Sabrina Soledad,ARG,0,0,15,0.0,0.0,15
107,6,Nosach Eugenia,ARG,0,0,0,,,0
108,17,Popovic Silvija,SRB,0,0,0,,,0
109,5,Castillo Brenda,DOM,0,0,0,,,0
110,6,Dominguez Martinez Camil Inmaculada,DOM,0,1,1,0.0,0.0,2
111,20,Martinez Brayelin Elizabeth,DOM,0,4,50,0.0,0.0,54
112,25,Martinez Caro Larysmer,DOM,0,1,3,0.0,0.0,4
113,8,Mirkovic Sladjana,SRB,0,0,5,0.0,0.0,5
114,17,Yan Ni,CHN,0,0,30,0.0,0.0,30
115,19,Liu Yanhan,CHN,0,0,2,0.0,0.0,2
116,16,Ding Xia,CHN,0,3,19,0.0,0.0,22
117,18,Wang Mengjie,CHN,0,0,0,,,0
118,2,Akoz Simge Sebnem,TUR,0,0,0,,,0
119,10,Liu Xiaotong,CHN,0,0,1,0.0,0.0,1
120,6,Caliskan Kubra,TUR,0,0,0,,,0
121,2,Koga Sarina,JPN,0,2,40,0.0,0.0,42
122,15,Hayashi Kotona,JPN,0,4,25,0.0,0.0,29
123,6,Kobata Mako,JPN,0,0,0,,,0
124,12,Momii Aki,JPN,0,3,28,0.0,0.0,31
125,16,Kundu Agripina Khayesi,KEN,0,0,0,,,0
126,18,Chemtai Emmaculate,KEN,0,2,5,0.0,0.0,7
127,12,Emaniman Gladys Ekaru,KEN,0,5,16,0.0,0.0,21
128,5,Kiprono Sharon Chepchumba,KEN,0,8,17,0.0,0.0,25
129,8,Lusenaka Joy,KEN,0,1,3,0.0,0.0,4
130,13,Kaei Lorine Chebet,KEN,0,3,25,0.0,0.0,28
131,3,Tashiro Kanami,JPN,0,1,27,0.0,0.0,28
132,8,Ishii Yuki,JPN,0,0,23,0.0,0.0,23
133,9,Okumura Mai,JPN,0,0,5,0.0,0.0,5
134,19,Yamada Nichika,JPN,0,0,0,,,0
135,10,Murambi Noel,KEN,0,0,2,0.0,0.0,2
136,15,Jepkirui Pamela,KEN,0,0,1,0.0,0.0,1
137,18,Brait Camila,BRA,0,0,0,,,0
138,7,An Hyejin,KOR,0,2,20,0.0,0.0,22
139,9,Oh Jiyoung,KOR,0,0,1,0.0,0.0,1
140,1,Lee Soyoung,KOR,0,3,20,0.0,0.0,23
141,8,Park Eunjin,KOR,0,1,22,0.0,0.0,23
142,17,Menezes Oliveira de Souza Ana Cristina,BRA,0,2,6,0.0,0.0,8
143,20,Correa Ana Beatriz,BRA,0,2,4,0.0,0.0,6
